Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Amoxicillin 334,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 334,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 334,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 335,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 335,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 335,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 335,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Atorvastatin 335,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 336,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 336,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 336,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 336,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 336,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 337,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 337,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 337,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 337,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 337,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 338,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 338,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 338,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 338,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 338,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 339,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 339,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 339,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 339,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 339,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 340,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 340,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 340,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 340,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 340,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 341,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 341,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 341,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 341,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Atorvastatin 341,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 342,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 342,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 342,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 342,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 342,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 343,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 343,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 343,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 343,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 343,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 344,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 344,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 344,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 344,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 344,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 345,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 345,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Amoxicillin 345,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 345,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 345,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 346,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 346,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Amoxicillin 346,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 346,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 346,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 347,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 347,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 347,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 347,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 347,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 348,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 348,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 348,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Metformin 348,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Atorvastatin 348,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 349,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 349,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 349,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 349,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 349,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 350,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 350,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 350,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 350,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 350,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Paracetamol 351,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 351,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 351,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 351,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 351,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 352,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 352,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 352,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 352,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 352,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 353,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 353,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 353,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 353,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 353,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 354,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 354,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 354,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Metformin 354,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 354,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 355,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 355,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 355,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 355,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Atorvastatin 355,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 356,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 356,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 356,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 356,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 356,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 357,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 357,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 357,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 357,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 357,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 358,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 358,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 358,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 358,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 358,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 359,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 359,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Amoxicillin 359,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 359,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 359,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 360,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 360,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 360,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Metformin 360,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 360,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 361,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 361,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 361,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 361,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 361,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 362,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 362,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 362,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 362,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 362,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 363,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 363,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 363,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 363,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 363,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 364,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 364,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 364,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 364,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 364,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 365,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 365,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 365,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 365,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 365,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 366,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 366,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 366,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 366,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 366,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 367,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 367,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 367,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Metformin 367,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 367,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 368,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 368,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 368,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 368,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 368,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 369,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 369,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 369,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 369,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 369,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 370,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 370,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 370,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 370,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 370,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 371,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 371,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 371,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 371,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 371,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 372,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 372,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 372,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 372,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 372,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 373,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 373,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 373,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 373,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 373,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 374,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 374,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 374,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 374,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 374,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Paracetamol 375,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 375,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 375,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 375,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 375,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 376,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 376,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 376,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 376,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 376,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Paracetamol 377,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 377,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 377,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 377,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Atorvastatin 377,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 378,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 378,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 378,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 378,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 378,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 379,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 379,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
