Medicine Name,Active Ingredient,Infant (0-1 yr),Child (1-12 yr),Adolescent (12-18 yr),Adult (18-65 yr),Elderly (65+ yr)
Paracetamol 313,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 313,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 313,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 313,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 313,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 314,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 314,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 314,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 314,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 314,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 315,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 315,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 315,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 315,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 315,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 316,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 316,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 316,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 316,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 316,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 317,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 317,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 317,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 317,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 317,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 318,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 318,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 318,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 318,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 318,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 319,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 319,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 319,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 319,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 319,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 320,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 320,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 320,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 320,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 320,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 321,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 321,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 321,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 321,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 321,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 322,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 322,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 322,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 322,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 322,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 323,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 323,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 323,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 323,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 323,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 324,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 324,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 324,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 324,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 324,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 325,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 325,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 325,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 325,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 325,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 326,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 326,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 326,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 326,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 326,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 327,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 327,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 327,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 327,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 327,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 328,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 328,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 328,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 328,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 328,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 329,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 329,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 329,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 329,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 329,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 330,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 330,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 330,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 330,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 330,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 331,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 331,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 331,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 331,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 331,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 332,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 332,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 332,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 332,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 332,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 333,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 333,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 333,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 333,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 333,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 334,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 334,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 334,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 334,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 334,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 335,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 335,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 335,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 335,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 335,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 336,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 336,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 336,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 336,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 336,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 337,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 337,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 337,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 337,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 337,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 338,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 338,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 338,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 338,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 338,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 339,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 339,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 339,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 339,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 339,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 340,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 340,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 340,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 340,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 340,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 341,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 341,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 341,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 341,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 341,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 342,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 342,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 342,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 342,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 342,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 343,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 343,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 343,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 343,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 343,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 344,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 344,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 344,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 344,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 344,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 345,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 345,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 345,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 345,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 345,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 346,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 346,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 346,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 346,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 346,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 347,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 347,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 347,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 347,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 347,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 348,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 348,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 348,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 348,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 348,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 349,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 349,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 349,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 349,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 349,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
